Name,Category,Price,גובה,השקיה,שימושים,Tag,Description,Stock,Thumbnail,תמונה,,
אלמון הודי,מטפסים לגינה,,"ענפים עד 5 מ', מטפס נכרך\נשען, פריחה ריחנית פרח כתום",בינונית עד מרובה,"גדרות, מסלעות, פרגולות, פריחה ריחנית","שמש, הצללה ",,0,https://cdn.store.link/products/galednp/wsyocy-%D7%90%D7%9C%D7%9E%D7%95%D7%9F%20%D7%94%D7%95%D7%93%D7%99%20%D7%90.jpg?versionId=6qyyTZ.8tUZ.feJo9lrNLyND5oBe6nei,,,
טרכלוספרמון יסמיני,מטפסים לגינה,,ענפים עד 4 מ',בינונית עד מועטה,"גדרות, פרגולות, כיסוי שטחים","שמש, הצללה  ",,0,https://cdn.store.link/products/galednp/ixd3lq-20150511_073949%20%D7%98%D7%A8%D7%9B%D7%9C%D7%95%D7%A1%D7%A4%D7%A8%D7%9E%D7%95%D7%9F%20%D7%90.jpg?versionId=LGsC9E0P8aHO_SJxkMNNoFuKzTj.tI8L,,,
תונברגיה גדולת פרחים,מטפסים לגינה,,ענפים עד 4 מ' עורך,בינונית,"ליד גדר, עמוד, פרגולה, מבנה",שמש ,,0,https://www.tokeep.co.il/images/tokeep/gallery/Thunbergia_Grandiflora-m_M.jpg,,,
יערה איטלקית,מטפסים לגינה,,ענפים עד 4מ' עורך,מועטה עד בינונית,"מטפס על גדרות וסלעים, כיסוי שטח","שמש מלאה עד צל, פריחה ריחנית",,1,https://www.tokeep.co.il/images/tokeep/gallery/Lonicera_etrusca_2_M.jpg,,,
תונברגיה סוזי פרח צהוב,מטפסים לגינה,,"ענפים עד 5 מ, מטפס  נכרך, רגיש לקור",מרובה,"גדרות, כיסוי שטח","שמש ישירה, הצללה חלקית, פריחה כל השנה",,0,https://lh3.google.com/u/0/d/1WdaJX0bEuHNn3CjFvUBInf8xfVJgqcMP=k,,,
תונברגיה סוזי פרח כתום ,מטפסים לגינה,,"ענפים עד 3 מ, מטפס  נכרך, רגיש לקור",מרובה,"גדרות, כיסוי שטח","שמש, הצללה חלקית, פריחה כל השנה",,0,https://cdn.store.link/products/galednp/7ijzj--%D7%AA%D7%95%D7%A0%D7%91%D7%A8%D7%92%D7%99%D7%94%20%D7%A1%D7%95%D7%96%D7%99%20%D7%A9%D7%97%D7%95%D7%A8%D7%AA%20%D7%A2%D7%99%D7%9F%20%D7%9B%D7%AA%D7%95%D7%9D%20%D7%91%D7%94%D7%99%D7%A8.jpg?versionId=STvkp15TcjdFCw7gbVNaLVwOeNrDPjYt,,,
תונברגיה סוזי פרח וורוד,מטפסים לגינה,,"ענפים עד 3 מ, מטפס  נכרך, רגיש לקור",מרובה,"גדרות, כיסוי שטח","שמש, הצללה חלקית, פריחה כל השנה",,0,https://cdn.store.link/products/galednp/crurlo-%D7%AA%D7%95%D7%A0%D7%91%D7%A8%D7%92%D7%99%D7%94%20%D7%9E%D7%9B%D7%95%D7%A0%D7%A4%D7%AA%20%D7%A1%D7%95%D7%96%D7%99%20%D7%A9%D7%97%D7%95%D7%A8%D7%AA%20%D7%A2%D7%99%D7%9F%20%D7%A4%D7%A8%D7%97%20%D7%A1%D7%92%D7%95%D7%9C%20.jpg?versionId=d5SRv57VtpjWL4c4h4zfPJI6mpTPN6GV,,,
פסיפלורה,מטפסים לגינה,,עד 3 מ',בינונית,על גדרות,"שמש, הצללה",,0,https://cdn.store.link/products/galednp/3n7uub-img_20200805_184055%20%D7%A4%D7%A1%D7%99%D7%A4%D7%9C%D7%95%D7%A8%D7%94.jpg?versionId=UtwJ6j8MFq0b4dPwaShw.BuyMu0YZynu,,,
הרדנברגיה סגולה,מטפסים לגינה,,"ענפים עד 5 מ', מטפס נכרך, פריחה ריחנית",בינונית,"גדרות, מסלעות, פרגולות","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/c30d3k-%D7%94%D7%A8%D7%93%D7%A0%D7%91%D7%A8%D7%92%D7%99%D7%94%20%D7%A4%D7%A9%D7%95%D7%98%D7%AA%20%D7%A2%D7%9C%D7%99%D7%9D%20%20%D7%90.jpg?versionId=MQ7uyTE2GNMoHLOUUIWefMU2Z7NLnVAv,,,
תונברגיה סוזי פרח כתום ,מטפסים לגינה,,"ענפים עד 3 מ, מטפס  נכרך, רגיש לקור",מרובה,"גדרות, כיסוי שטח","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/r0xz4a-%D7%AA%D7%95%D7%A0%D7%91%D7%A8%D7%92%D7%99%D7%94%20%D7%9E%D7%9B%D7%95%D7%A0%D7%A4%D7%AA%20%D7%A1%D7%95%D7%96%D7%99%20%D7%A9%D7%97%D7%95%D7%A8%D7%AA%20%D7%A2%D7%99%D7%9F%20%D7%A4%D7%A8%D7%97%20%D7%9B%D7%AA%D7%95%D7%9D%20%D7%9B%D7%94%D7%94.jpg?versionId=40wiMGsjsl_9hBOsj89EwP26kQHEDRWk,,,
